code,category,name_en,name_vi,description,price,spicy,vegetarian,signature,popular,notes
A1,Appetizers,Special Appetizer,Khai Vị Đặc Biệt,"Two crispy golden egg rolls served with tangy fish sauce, and two fresh spring rolls with creamy peanut sauce. A nice mix of crunchy and fresh to start off your meal.",12.00,no,no,no,no,
A2,Appetizers,Crispy Egg Rolls,Chả Giò,"Four crispy eggrolls filled with a savory mix of pork, chicken, taro, and carrots. Served with fresh lettuce and a side of light fish sauce.",9.50,no,no,yes,no,Signature — entry point
A3,Appetizers,1/2 Order of Crispy Egg Rolls (2),,"Two crispy egg rolls, served with lettuce and light fish sauce. Available regular or vegetarian.",5.50,no,no,no,no,
A4,Appetizers,Vegetarian Egg Rolls,Chả Giò Chay,"Four crispy rolls filled with taro, carrot and glass noodles. Served with lettuce and a light fish sauce.",9.50,no,yes,no,no,
A5,Appetizers,Spring Rolls,Gỏi Cuốn,"Two rice paper rolls stuffed with protein of your choice, vermicelli, basil leaves and bean sprouts in thin rice paper served with peanut sauce.",8.50,no,no,no,yes,Most popular
A7,Appetizers,Fried Battered Shrimp with Sauce,Tôm Chiên Giòn,"Crispy battered shrimp, encased in a light, golden batter, served with a sweet chili sauce.",12.99,no,no,no,no,
A8,Appetizers,Crispy Fried Tofu with Garlic and Pepper,Đậu Hủ Chiên Tỏi Tiêu,"Crispy tofu cubes seasoned with aromatic garlic and freshly cracked pepper, served with a side of sweet chili sauce.",10.99,no,yes,no,no,
A9,Appetizers,Crispy Fried Chicken Wings (6),Cánh Gà Chiên,"Six crispy fried chicken wings, battered and sautéed with onions.",12.99,no,no,no,no,
A10,Appetizers,Potstickers (8),,"Pan-fried dumplings filled with seasoned pork, served with ponzu dipping sauce. A satisfying bite with a bit of crisp and a bit of chew.",11.50,no,no,no,no,
A11,Appetizers,Miso Soup,,"A warm, savory broth with tofu, seaweed, and green onion. Simple and comforting, good as a starter or light side.",7.00,no,yes,no,no,
A12,Appetizers,Edamame with Salt,,"Steamed young soybeans sprinkled with salt. A light, shareable snack that's easy to keep reaching for.",9.00,no,yes,no,no,
A13,Appetizers,Spicy Garlic Edamame,,"Edamame pods sautéed with garlic and chili flakes. Has a bit more kick and flavor than the classic version.",10.00,yes,yes,no,no,
A14,Appetizers,Seaweed Salad,Gỏi Rong Biển,"Seaweed salad garnished with sesame seeds for an added crunch.",8.50,no,yes,no,no,
A15,Appetizers,Egg Soup,Súp Trứng,"A blend of beaten eggs and rich chicken broth, garnished with fresh spring onions and served with a side of crispy wonton strips.",7.50,no,no,no,no,
A16,Appetizers,Crab Rangoon (Cheese Wonton) (6),,"Six golden, crispy wontons stuffed with a blend of crab meat and rich cream cheese.",8.50,no,no,no,no,
